start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost
"(0, 0)","(70, 50)",20,36.67065797725179,37.8700576850888,54.168472994564375
"(0, 0)","(70, 50)",20,29.84178716296609,20.82842712474619,39.31544981930165
"(0, 0)","(70, 50)",20,18.746448039188397,20.48528137423857,22.964826482587146
"(0, 0)","(70, 50)",20,21.05344300728304,21.0,24.692239252549363
"(0, 0)","(70, 50)",20,58.43649840833151,62.55634918610405,69.64837960041322
"(0, 0)","(70, 50)",20,106.8119321427841,87.41421356237309,98.05381192791728
"(0, 0)","(70, 50)",20,36.1167943443966,16.72792206135786,26.06360502154034
"(0, 0)","(70, 50)",20,114.95854102579034,116.07106781186548,130.8685946097685
"(0, 0)","(70, 50)",20,33.01708095261563,33.89949493661167,40.340664229346125
"(0, 0)","(70, 70)",20,52.323538991071686,49.01219330881973,97.8754240252714
"(0, 0)","(70, 70)",20,29.45170084428604,30.38477631085024,-10.0
"(0, 0)","(70, 70)",20,23.25007232533905,22.07106781186548,33.923215730481395
"(0, 0)","(70, 70)",20,30.59013170684147,32.55634918610405,33.89562057446755
"(0, 0)","(70, 70)",20,20.96888712563844,20.798989873223334,23.971365448313943
"(0, 0)","(70, 70)",20,16.376517035071952,16.414213562373096,17.22882159767767
"(0, 0)","(70, 70)",20,52.5853919906627,43.24264068711928,47.68720343245143
"(0, 0)","(70, 70)",20,55.98877737008631,56.65685424949238,60.56613735479033
"(0, 0)","(70, 70)",20,7.411539097898493,7.65685424949238,7.456857470757351
"(0, 0)","(70, 70)",20,115.3424418587554,119.01219330881972,145.82050480368366
"(0, 0)","(70, 70)",20,22.16569171656745,23.72792206135786,28.89439791290521
"(0, 0)","(70, 90)",20,49.20443821172774,41.597979746446654,48.83230252250148
"(0, 0)","(70, 90)",20,20.88502876865385,22.55634918610405,26.542135931302383
"(0, 0)","(80, 40)",20,31.244276767247243,32.55634918610405,107.55736640518738
"(0, 0)","(80, 40)",20,32.99486120541557,35.21320343559643,72.10999610083337
"(0, 0)","(80, 40)",20,20.717352633927923,19.242640687119287,25.376739803894534
"(0, 0)","(80, 40)",20,39.13668485428612,23.142135623730955,27.147934010405127
"(0, 0)","(80, 40)",20,38.84112755302004,36.41421356237309,39.89027336919774
"(0, 0)","(80, 40)",20,73.63086261117402,75.48528137423857,81.0996382446867
"(0, 0)","(80, 40)",20,2.621607365340584,2.8284271247461903,2.621607365340584
"(0, 0)","(80, 40)",20,75.4912802020765,75.0,91.01507845622662
"(0, 0)","(80, 40)",20,77.3721725920421,77.0,84.79198718347226
"(0, 0)","(80, 40)",20,56.43096142694516,60.14213562373095,61.926301826019184
"(0, 0)","(80, 40)",20,55.10451369122725,56.0,63.82739688717573
"(0, 0)","(80, 60)",20,28.88800873228949,29.213203435596437,-10.0
"(0, 0)","(80, 60)",20,22.13985029728864,18.48528137423857,82.45013357598351
"(0, 0)","(80, 60)",20,13.846947026127264,15.071067811865476,19.89462739433752
"(0, 0)","(80, 60)",20,36.70398455234584,29.414213562373096,61.39906086864059
"(0, 0)","(80, 60)",20,61.47399647556603,62.41421356237309,-10.0
"(0, 0)","(80, 70)",20,46.44738120318941,45.21320343559641,60.689728808657065
"(0, 0)","(80, 70)",20,41.54466149638297,29.213203435596437,32.951857801887485
"(0, 0)","(80, 70)",20,21.556753180921213,16.899494936611667,25.89375712472288
"(0, 0)","(80, 70)",20,35.12131658713214,37.62741699796952,46.784821000200274
"(0, 0)","(90, 20)",20,16.55931826368569,17.414213562373096,18.21908762618765
"(0, 0)","(90, 60)",20,74.57534210609384,71.65685424949238,83.0121394600575
"(0, 0)","(90, 60)",20,100.5059116202132,85.31370849898474,102.1673485155544
"(0, 0)","(90, 60)",20,28.1488992154646,21.798989873223334,35.368337551392244
"(0, 0)","(90, 60)",20,3.61413760152894,3.82842712474619,3.61413760152894
"(0, 0)","(90, 60)",20,48.60252629717468,50.07106781186548,-10.0
