start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost
"(0, 0)","(120, 60)",20,79.70078405940474,69.49747468305827,122.30966428747612
"(0, 0)","(140, 100)",20,78.27929532479635,71.76955262170044,95.96891612861424
"(0, 0)","(140, 100)",20,39.70577453279761,43.21320343559643,89.69375810702286
"(0, 0)","(140, 100)",20,81.50445746355462,80.63961030678921,91.40273374958392
"(0, 0)","(140, 100)",20,39.578349403866646,22.142135623730955,22.077830273195424
"(0, 0)","(140, 100)",20,28.591774175695647,28.72792206135786,35.552703720978194
"(0, 0)","(140, 100)",20,54.292686080777855,38.31370849898476,49.24978055389728
"(0, 0)","(140, 100)",20,18.941123830185024,9.071067811865476,10.00042543968288
"(0, 0)","(140, 100)",20,51.344445552470674,55.28427124746189,61.9468478036615
"(0, 0)","(140, 100)",20,66.95389012475925,57.698484809834994,64.18631639554539
"(0, 0)","(140, 100)",20,34.203118838875014,31.82842712474619,42.82349398639435
"(0, 0)","(140, 100)",20,80.53953691081935,78.38477631085024,95.29130551804218
"(0, 0)","(140, 140)",20,59.74955390755719,53.79898987322333,85.55959700988713
"(0, 0)","(140, 140)",20,95.39585055316763,100.8406204335659,114.65349508022383
"(0, 0)","(140, 140)",20,27.051442698144797,27.38477631085024,54.91782778473177
"(0, 0)","(140, 140)",20,180.98808602940065,172.2964645562818,191.7189135074782
"(0, 0)","(140, 140)",20,78.39139077603592,67.72792206135786,83.1452833603796
"(0, 0)","(140, 140)",20,92.47606985328537,54.0,58.68588719110591
"(0, 0)","(140, 140)",20,68.36358977119372,68.82842712474618,73.92273925749103
"(0, 0)","(140, 140)",20,39.04445825351529,21.899494936611667,23.41264352537601
"(0, 0)","(140, 140)",20,80.63487483979955,44.41421356237309,60.003348844839735
"(0, 0)","(140, 140)",20,34.9772650255993,37.07106781186548,49.62130084242028
"(0, 0)","(140, 140)",20,15.905851555365007,16.414213562373096,18.745367710370385
"(0, 0)","(160, 120)",20,75.63477275871435,51.91168824543139,58.13172161792503
"(0, 0)","(160, 120)",20,25.88139772103436,11.485281374238571,11.989245153873416
"(0, 0)","(160, 120)",20,36.786468272702926,37.35533905932738,41.15848164035561
"(0, 0)","(160, 120)",20,8.157979105957144,8.82842712474619,11.59971732727689
"(0, 0)","(160, 120)",20,31.70961690052968,30.798989873223334,33.50966930248177
"(0, 0)","(160, 120)",20,94.59103259832118,95.36753236814704,121.01442370201342
"(0, 0)","(160, 120)",20,38.17658820852324,28.242640687119287,55.245959993021614
"(0, 0)","(160, 120)",20,56.32472055158041,54.89949493661167,59.05978897981055
"(0, 0)","(160, 120)",20,32.71190088735367,27.414213562373096,31.74995250614369
"(0, 0)","(160, 120)",20,174.44890252984789,168.39696961967007,192.61467964885816
"(0, 0)","(160, 120)",20,124.98184914377715,103.2253967444161,136.5160250106539
"(0, 0)","(160, 160)",20,66.30994592717704,63.04163056034261,77.0464661885797
"(0, 0)","(160, 160)",20,95.7815823512845,97.01219330881972,113.0814750335816
"(0, 0)","(160, 160)",20,62.77226390004239,61.04163056034263,85.02664558454688
"(0, 0)","(160, 160)",20,167.75190880822095,158.22539674441623,205.83526400811556
"(0, 0)","(160, 160)",20,73.69392583342331,72.38477631085024,102.24142182668452
"(0, 0)","(160, 160)",20,37.64603946809829,18.82842712474619,19.25976161065197
"(0, 0)","(160, 160)",20,37.77349482852663,39.07106781186548,40.1083516340562
"(0, 0)","(160, 160)",20,23.826796790853315,25.142135623730955,30.58968223671288
"(0, 0)","(160, 80)",20,81.96445905937823,64.91168824543139,69.10166321513077
"(0, 0)","(160, 80)",20,25.80165067742682,27.899494936611667,27.098178107272407
