start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(160, 80)",15,True,775.5049065111201,0,0.0,0,0.0
"(0, 0)","(160, 80)",20,True,706.977427335165,0,0.0,0,0.0
"(0, 0)","(160, 80)",25,True,693.1954510942238,0,0.0,0,0.0
"(0, 0)","(160, 80)",30,True,379.1109500202982,0,0.0,0,0.0
"(0, 0)","(160, 80)",10,True,1262.6649366453662,1,1215.446037665066,0,552.0181857831843
"(0, 0)","(160, 80)",15,True,775.5049065111201,1,682.3035702357232,0,568.4350069293556
"(0, 0)","(160, 80)",20,True,706.977427335165,1,982.440619052424,1,520.774309877468
"(0, 0)","(160, 80)",25,True,693.1954510942231,1,574.1619249781581,1,425.7010955803393
"(0, 0)","(160, 80)",30,True,379.1109500202982,1,379.1109500202982,0,561.3434140799719
"(0, 0)","(180, 20)",10,True,185.9565780634248,1,185.9565780634248,1,186.9406530627813
"(0, 0)","(180, 20)",15,True,191.8835440308089,1,191.8835440308089,1,190.9309018476468
"(0, 0)","(180, 20)",20,True,187.20028132141968,1,187.20028132141968,1,452.8693993851109
"(0, 0)","(180, 20)",25,True,185.84358233941845,1,185.84358233941845,1,184.9641112289195
"(0, 0)","(180, 20)",30,True,191.47444704993777,1,191.47444704993777,1,431.4432064806164
"(0, 0)","(180, 40)",10,True,957.6412257109848,1,874.5085321206271,1,529.2761973143577
"(0, 0)","(180, 40)",15,True,211.26994462950236,1,211.26994462950236,1,195.81268753936908
"(0, 0)","(180, 40)",20,True,483.7025084637566,1,496.0397887672041,1,462.1221920951788
"(0, 0)","(180, 40)",25,True,430.2091942041308,1,430.2091942041308,1,301.7910375287355
"(0, 0)","(180, 40)",30,True,360.5434803670074,1,360.5434803670074,1,196.75424211324048
"(0, 0)","(180, 60)",10,True,792.321996447124,1,558.8275105863479,1,503.477141573643
"(0, 0)","(180, 60)",15,True,499.3914600814154,1,499.3914600814154,1,209.3060829159484
"(0, 0)","(180, 60)",20,True,525.2597695843771,1,525.2597695843771,0,560.7252267633909
"(0, 0)","(180, 60)",25,True,513.1401519430334,1,513.1401519430334,1,434.0455718966536
"(0, 0)","(180, 60)",30,True,479.45821303959497,1,479.45821303959497,1,556.9188841386504
"(0, 0)","(180, 80)",10,True,1385.064736809156,1,569.5946889895869,0,553.0651016453303
"(0, 0)","(180, 80)",15,True,665.2506384309285,1,514.6297877509448,1,456.9758358692558
"(0, 0)","(180, 80)",20,True,616.5621324571,1,616.5621324571,1,552.9874833535405
"(0, 0)","(180, 80)",25,True,454.8172036155291,1,454.8172036155291,1,528.4247343089846
"(0, 0)","(180, 80)",30,True,622.4056064144141,1,622.4056064144141,1,493.32232686698046
"(0, 0)","(20, 100)",10,True,111.24725689973518,0,0.0,0,0.0
"(0, 0)","(20, 100)",15,True,268.4839716105608,0,0.0,0,0.0
"(0, 0)","(20, 100)",20,True,267.9705350860737,0,0.0,0,0.0
"(0, 0)","(20, 100)",25,True,106.49294124651108,0,0.0,0,0.0
"(0, 0)","(20, 100)",30,True,175.8042003879212,0,0.0,0,0.0
"(0, 0)","(20, 100)",10,True,105.96779071032816,1,105.96779071032816,1,111.72657159395382
"(0, 0)","(20, 100)",15,True,111.0054162055744,1,111.0054162055744,1,273.8271031508098
"(0, 0)","(20, 100)",20,True,234.1722086621371,1,308.2709553799964,1,107.76339695368088
"(0, 0)","(20, 100)",25,True,249.28925900835145,1,298.36923907540444,1,105.77493538056538
"(0, 0)","(20, 100)",30,True,247.6985225758832,1,247.6985225758832,1,107.68678461592376
"(0, 0)","(20, 20)",10,True,28.343868794509348,0,0.0,0,0.0
"(0, 0)","(20, 20)",15,True,28.312439195889663,0,0.0,0,0.0
"(0, 0)","(20, 20)",20,True,28.28431544094965,0,0.0,0,0.0
"(0, 0)","(20, 20)",25,True,28.28433803519609,0,0.0,0,0.0
"(0, 0)","(20, 20)",30,True,28.284271247461906,0,0.0,0,0.0
"(0, 0)","(20, 20)",10,True,28.40108630802987,1,28.40108630802987,1,28.781488918196736
"(0, 0)","(20, 20)",15,True,28.30788590199033,1,28.30788590199033,1,29.343948691579023
"(0, 0)","(20, 20)",20,True,28.28512226876841,1,28.28512226876841,1,28.554299747572685
"(0, 0)","(20, 20)",25,True,28.286502063289728,1,28.286502063289728,1,28.680158925628454
"(0, 0)","(20, 20)",30,True,28.284271247461906,1,28.284271247461906,1,29.33203457814813
"(0, 0)","(20, 60)",10,True,63.3704927972312,0,0.0,0,0.0
"(0, 0)","(20, 60)",15,True,63.274303876089625,0,0.0,0,0.0
"(0, 0)","(20, 60)",20,True,63.24671952492572,0,0.0,0,0.0
"(0, 0)","(20, 60)",25,True,63.245575675775015,0,0.0,0,0.0
"(0, 0)","(20, 60)",30,True,63.25208764430001,0,0.0,0,0.0
"(0, 0)","(20, 60)",10,True,63.35536631378822,1,63.35536631378822,1,64.0959275800967
"(0, 0)","(20, 60)",15,True,63.25369049584745,1,63.25369049584745,1,65.97153605911805
"(0, 0)","(20, 60)",20,True,63.25890391538434,1,63.25890391538434,1,64.67500570462833
"(0, 0)","(20, 60)",25,True,63.25200255272229,1,63.25200255272229,1,65.29467373419723
"(0, 0)","(20, 60)",30,True,63.246615618337856,1,63.246615618337856,1,64.56102852817871
"(0, 0)","(40, 40)",10,True,56.72721835421675,0,0.0,0,0.0
"(0, 0)","(40, 40)",15,True,56.6464544769152,0,0.0,0,0.0
"(0, 0)","(40, 40)",20,True,56.572132772466894,0,0.0,0,0.0
"(0, 0)","(40, 40)",25,True,56.56918197958661,0,0.0,0,0.0
"(0, 0)","(40, 40)",30,True,56.56926185858795,0,0.0,0,0.0
"(0, 0)","(40, 40)",10,True,56.787253513447,1,56.787253513447,1,57.48402626287249
"(0, 0)","(40, 40)",15,True,56.6512704215542,1,56.6512704215542,1,57.49083058906412
"(0, 0)","(40, 40)",20,True,56.57006920353129,1,56.57006920353129,1,57.02982776377634
