start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick,[our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(60, 90)",25,True,283.7236304327933,True,283.7236304327933,0,0
"(0, 0)","(60, 90)",30,True,316.01537510337704,True,329.9752820689383,0,0
"(0, 0)","(70, 20)",10,False,1868.3674867109528,False,1422.2421624654446,0,0
"(0, 0)","(70, 20)",15,False,3493.156609387828,False,2037.2313371196765,0,0
"(0, 0)","(70, 20)",20,True,2609.586188698926,False,2646.854569930233,0,0
"(0, 0)","(70, 20)",25,True,2401.90421218962,True,368.4740832874329,0,0
"(0, 0)","(70, 20)",30,True,2702.85963775073,True,388.113906733216,0,0
"(0, 0)","(70, 30)",10,False,1639.7524257216492,False,1139.1947546200429,0,0
"(0, 0)","(70, 30)",15,True,1832.6488065627505,True,1635.5456717770558,0,0
"(0, 0)","(70, 30)",20,False,2736.7735398504647,False,2126.478198603238,0,0
"(0, 0)","(70, 30)",25,True,1200.0250735941895,True,416.1096051243169,0,0
"(0, 0)","(70, 30)",30,False,4852.486662556388,True,399.0441361206993,0,0
"(0, 0)","(70, 50)",10,False,751.8369384001181,False,760.380813438645,0,0
"(0, 0)","(70, 50)",15,True,788.3110052658966,True,839.8707565353063,0,0
"(0, 0)","(70, 50)",20,True,816.1443882495086,True,692.0444372389161,0,0
"(0, 0)","(70, 50)",25,True,574.8262883770817,True,426.80338964780753,0,0
"(0, 0)","(70, 50)",30,False,5033.692361089547,False,4407.515120489381,0,0
"(0, 0)","(70, 70)",10,True,475.2921778887778,True,507.4929913633336,0,0
"(0, 0)","(70, 70)",15,True,521.943735218564,True,436.452723759617,0,0
"(0, 0)","(70, 70)",20,True,1006.6460750076388,True,1026.1385090310243,0,0
"(0, 0)","(70, 70)",25,True,496.9826191847988,True,379.64042277569166,0,0
"(0, 0)","(70, 70)",30,False,3758.758166254938,False,2547.6953495341168,0,0
"(0, 0)","(70, 90)",10,True,430.52216766381736,True,373.4899032578229,0,0
"(0, 0)","(70, 90)",15,True,387.0912565402924,True,387.0912565402924,0,0
"(0, 0)","(70, 90)",20,True,275.3038179019313,True,275.3038179019313,0,0
"(0, 0)","(70, 90)",25,True,301.68376060167776,True,301.68376060167776,0,0
"(0, 0)","(70, 90)",30,True,343.5366105952998,True,313.4896459621226,0,0
"(0, 0)","(80, 40)",10,False,1560.292509371504,False,941.002899670062,0,0
"(0, 0)","(80, 40)",15,True,1534.146831731151,True,1258.9101727544253,0,0
"(0, 0)","(80, 40)",20,True,1440.5029971885542,True,388.7201813355219,0,0
"(0, 0)","(80, 40)",25,True,896.7355239138568,True,887.2417125125868,0,0
"(0, 0)","(80, 40)",30,False,4515.186836736191,False,4730.373538253305,0,0
"(0, 0)","(80, 60)",10,False,684.8890689798704,False,646.8389149839069,0,0
"(0, 0)","(80, 60)",15,True,524.6645241389413,True,574.5373416724271,0,0
"(0, 0)","(80, 60)",20,True,443.3501880300938,True,358.9376215890555,0,0
"(0, 0)","(80, 60)",25,True,700.6440306532976,True,557.3889205675825,0,0
"(0, 0)","(80, 60)",30,True,371.7146312508519,True,308.25119410197004,0,0
"(0, 0)","(80, 70)",10,True,479.6012451406946,True,395.4796200583008,0,0
"(0, 0)","(80, 70)",15,True,607.5291554089501,True,466.9105340444368,0,0
"(0, 0)","(80, 70)",20,True,410.5929648490236,True,410.5929648490236,0,0
"(0, 0)","(80, 70)",25,True,329.5115496023846,True,329.5115496023846,0,0
"(0, 0)","(80, 70)",30,False,3939.2338453709367,False,2919.1789375993103,0,0
"(0, 0)","(90, 20)",10,True,134.23090943494924,True,139.29755673089113,0,0
"(0, 0)","(90, 20)",15,True,124.57833261298768,True,124.57833261298768,0,0
"(0, 0)","(90, 20)",20,True,139.9946264122661,True,139.9946264122661,0,0
"(0, 0)","(90, 20)",25,True,142.90143965253486,True,142.90143965253486,0,0
"(0, 0)","(90, 20)",30,True,158.34091179106292,True,158.34091179106292,0,0
"(0, 0)","(90, 30)",10,True,142.7775797599749,True,142.7775797599749,0,0
"(0, 0)","(90, 30)",15,True,231.21384379492804,True,210.40691366551607,0,0
"(0, 0)","(90, 30)",20,True,139.8484167944984,True,139.8484167944984,0,0
"(0, 0)","(90, 30)",25,False,4717.5526497035735,False,3055.03825613912,0,0
"(0, 0)","(90, 30)",30,True,148.41190643904673,True,148.41190643904673,0,0
"(0, 0)","(90, 60)",10,False,1004.2012157670288,False,701.2744399056401,0,0
"(0, 0)","(90, 60)",15,True,747.1416835637764,True,720.3079321199021,0,0
"(0, 0)","(90, 60)",20,True,544.1187511020751,True,568.1285491785478,0,0
"(0, 0)","(90, 60)",25,True,965.3946154978128,True,351.28112451258187,0,0
"(0, 0)","(90, 60)",30,False,4337.971329710653,False,3857.9873741288807,0,0
