start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(120, 160)",20,109.6668280995102,102.4264068711928,116.52321344830834,39,47,32,0.0028891563415527,0.1184847354888916,0.0012180805206298
"(0, 0)","(120, 160)",20,24.99145260089862,27.07106781186548,28.96601841927216,0,7,7,0.0031449794769287,0.004007339477539,0.000342845916748
"(0, 0)","(120, 160)",20,55.96166473638817,58.72792206135786,72.88364136746372,3,17,21,0.0257105827331542,0.0232572555541992,0.0007429122924804
"(0, 0)","(120, 60)",20,79.70078405940474,69.49747468305827,122.30966428747612,16,11,35,0.1252822875976562,0.1202411651611328,0.0022075176239013
"(0, 0)","(140, 100)",20,78.27929532479635,71.76955262170044,95.96891612861424,18,26,28,0.167581558227539,0.059028148651123,0.0010371208190917
"(0, 0)","(140, 100)",20,39.70577453279761,43.21320343559643,89.69375810702286,0,13,27,0.0003004074096679,0.0143160820007324,0.0016846656799316
"(0, 0)","(140, 100)",20,81.50445746355462,80.63961030678921,91.40273374958392,14,12,25,0.1116197109222412,0.0976688861846923,0.0010666847229003
"(0, 0)","(140, 100)",20,39.578349403866646,22.142135623730955,22.077830273195424,3,12,5,0.0056555271148681,0.0027832984924316,0.00032639503479
"(0, 0)","(140, 100)",20,28.591774175695647,28.72792206135786,35.552703720978194,2,13,9,0.0002830028533935,0.0056242942810058,0.0011894702911376
"(0, 0)","(140, 100)",20,54.292686080777855,38.31370849898476,49.24978055389728,3,13,12,0.0017082691192626,0.0086922645568847,0.0009129047393798
"(0, 0)","(140, 100)",20,18.941123830185024,9.071067811865476,10.00042543968288,2,4,2,0.0003697872161865,0.0004045963287353,0.0002496242523193
"(0, 0)","(140, 100)",20,51.344445552470674,55.28427124746189,61.9468478036615,6,13,16,0.0384964942932128,0.0298271179199218,0.002298355102539
"(0, 0)","(140, 100)",20,66.95389012475925,57.698484809834994,64.18631639554539,15,5,17,0.1030926704406738,0.0342204570770263,0.0011930465698242
