start,goal,range,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn
"(0, 0)","(60, 70)",20,0,2,5
"(0, 0)","(60, 70)",20,4,1,20
"(0, 0)","(60, 70)",20,1,0,4
"(0, 0)","(60, 70)",20,0,2,11
"(0, 0)","(60, 70)",20,2,13,0
"(0, 0)","(60, 80)",20,3,4,8
"(0, 0)","(60, 80)",20,1,10,0
"(0, 0)","(60, 80)",20,7,11,16
"(0, 0)","(60, 80)",20,3,20,14
"(0, 0)","(60, 90)",20,3,7,0
"(0, 0)","(70, 20)",20,2,7,10
"(0, 0)","(70, 20)",20,0,10,7
"(0, 0)","(70, 20)",20,2,0,0
"(0, 0)","(70, 20)",20,0,5,12
"(0, 0)","(70, 20)",20,1,0,6
"(0, 0)","(70, 20)",20,2,27,22
"(0, 0)","(70, 20)",20,1,0,18
"(0, 0)","(70, 20)",20,6,13,21
"(0, 0)","(70, 20)",20,11,0,18
"(0, 0)","(70, 20)",20,11,1,19
"(0, 0)","(70, 20)",20,10,4,2
"(0, 0)","(70, 30)",20,3,7,10
"(0, 0)","(70, 30)",20,1,20,10
"(0, 0)","(70, 30)",20,0,4,1
"(0, 0)","(70, 30)",20,2,4,1
"(0, 0)","(70, 30)",20,1,5,9
"(0, 0)","(70, 30)",20,8,19,0
"(0, 0)","(70, 30)",20,3,4,5
"(0, 0)","(70, 30)",20,12,12,0
"(0, 0)","(70, 30)",20,0,7,10
"(0, 0)","(70, 30)",20,22,7,22
"(0, 0)","(70, 30)",20,4,1,19
"(0, 0)","(70, 50)",20,1,2,7
"(0, 0)","(70, 50)",20,2,14,14
"(0, 0)","(70, 50)",20,3,3,10
"(0, 0)","(70, 50)",20,0,7,5
"(0, 0)","(70, 50)",20,1,0,5
"(0, 0)","(70, 50)",20,7,21,18
"(0, 0)","(70, 50)",20,6,1,27
"(0, 0)","(70, 50)",20,2,6,7
"(0, 0)","(70, 50)",20,13,7,36
"(0, 0)","(70, 50)",20,1,11,12
"(0, 0)","(70, 70)",20,5,10,26
"(0, 0)","(70, 70)",20,2,12,0
"(0, 0)","(70, 70)",20,3,7,9
"(0, 0)","(70, 70)",20,2,17,8
"(0, 0)","(70, 70)",20,0,2,6
"(0, 0)","(70, 70)",20,0,1,4
"(0, 0)","(70, 70)",20,1,5,12
"(0, 0)","(70, 70)",20,1,7,16
"(0, 0)","(70, 70)",20,0,4,1
"(0, 0)","(70, 70)",20,25,57,39
"(0, 0)","(70, 70)",20,0,17,7
"(0, 0)","(70, 90)",20,5,4,13
"(0, 0)","(70, 90)",20,3,7,7
"(0, 0)","(80, 40)",20,2,5,31
"(0, 0)","(80, 40)",20,2,22,19
"(0, 0)","(80, 40)",20,1,4,7
"(0, 0)","(80, 40)",20,1,14,7
"(0, 0)","(80, 40)",20,5,1,12
"(0, 0)","(80, 40)",20,3,11,23
"(0, 0)","(80, 40)",20,0,0,0
"(0, 0)","(80, 40)",20,10,0,26
"(0, 0)","(80, 40)",20,9,0,21
"(0, 0)","(80, 40)",20,1,19,17
"(0, 0)","(80, 40)",20,0,0,17
"(0, 0)","(80, 60)",20,1,6,0
"(0, 0)","(80, 60)",20,2,7,24
"(0, 0)","(80, 60)",20,0,5,5
"(0, 0)","(80, 60)",20,1,1,17
"(0, 0)","(80, 60)",20,9,1,0
"(0, 0)","(80, 70)",20,5,8,17
"(0, 0)","(80, 70)",20,3,12,10
"(0, 0)","(80, 70)",20,4,12,7
"(0, 0)","(80, 70)",20,2,12,13
"(0, 0)","(90, 20)",20,1,1,5
"(0, 0)","(90, 60)",20,12,6,22
"(0, 0)","(90, 60)",20,31,7,28
"(0, 0)","(90, 60)",20,2,2,8
"(0, 0)","(90, 60)",20,0,2,0
"(0, 0)","(90, 60)",20,10,9,0
