start,goal,range,ASP_improve_path_cost,Astar_path_cost,RRTStar_path_cost,ASP_improve_path_turn,Astar_path_turn,RRTStar_path_turn,ASP_improve_time,Astar_time,RRTStar_time
"(0, 0)","(50, 20)",20,90.90474707525192,92.01219330881972,113.55603704864714,12,35,31,0.2031710147857666,0.1065678596496582,0.0025615692138671
"(0, 0)","(50, 20)",20,25.995354576233524,27.48528137423857,28.71698287689065,2,9,7,0.0009500980377197,0.004404067993164,0.0002634525299072
"(0, 0)","(50, 20)",20,33.46332935966289,34.89949493661167,36.459607508390974,0,11,9,0.0598747730255126,0.0064132213592529,0.0016343593597412
"(0, 0)","(50, 20)",20,29.273864896120703,3.0,3.3552214814648003,2,0,0,0.0003490447998046,0.0001351833343505,5.364418029785156e-05
"(0, 0)","(50, 40)",20,59.03651976214205,47.727922061357845,70.22607928708976,8,7,20,0.1061699390411377,0.006174087524414,0.000922679901123
"(0, 0)","(50, 40)",20,33.45778532138192,32.627416997969526,57.38652865423177,1,12,15,0.0043187141418457,0.0038855075836181,0.0006318092346191
"(0, 0)","(50, 40)",20,37.96882286146911,41.55634918610404,51.95451421771854,7,13,14,0.0446462631225585,0.0112116336822509,0.0006186962127685
"(0, 0)","(50, 40)",20,29.88390876671017,5.0,5.678679227175394,1,0,1,0.0004539489746093,0.0002028942108154,0.0001089572906494
"(0, 0)","(50, 40)",20,5.628828940553585,2.8284271247461903,2.8806087236520392,1,0,0,0.000354528427124,0.0057415962219238,8.535385131835938e-05
"(0, 0)","(50, 40)",20,30.48803058517864,12.0,13.553067442495784,2,0,3,0.0419108867645263,0.0003871917724609,0.0005059242248535
"(0, 0)","(50, 40)",20,62.13595902491487,63.4974746830583,86.744682284857,18,4,25,0.1466662883758545,0.0347108840942382,0.0035614967346191
"(0, 0)","(50, 40)",20,39.07052692480234,28.21320343559644,30.72332152830741,4,10,8,0.0019383430480957,0.0046427249908447,0.0003008842468261
"(0, 0)","(50, 40)",20,86.89980969917484,81.48528137423857,111.18304712087073,5,11,32,0.167720079421997,0.0419518947601318,0.0031306743621826
"(0, 0)","(50, 40)",20,54.66520058294861,58.18376618407355,78.60783106394243,12,4,24,0.0789346694946289,0.063835859298706,0.0198423862457275
"(0, 0)","(50, 40)",20,2.2949718817671707,3.414213562373095,2.2949718817671707,0,1,0,0.0004684925079345,0.0020148754119873,7.963180541992188e-05
"(0, 0)","(50, 50)",20,37.917734355113474,3.0,2.937176404501621,4,0,0,0.0013787746429443,0.0001585483551025,4.744529724121094e-05
"(0, 0)","(50, 50)",20,16.072075825211357,17.142135623730955,16.491224416725192,0,4,3,0.000234842300415,0.0013859272003173,0.0003864765167236
"(0, 0)","(50, 50)",20,4.734508819226692,5.414213562373095,4.734508819226692,0,1,0,0.0002002716064453,0.0002264976501464,0.0001246929168701
"(0, 0)","(50, 50)",20,26.866278236882494,23.0,23.89873775386761,2,0,6,0.0004293918609619,0.0005750656127929,0.0014369487762451
"(0, 0)","(50, 50)",20,55.37378380529239,58.76955262170046,62.94423880189554,8,4,18,0.1152036190032959,0.0339303016662597,0.0024514198303222
"(0, 0)","(50, 50)",20,42.68153242686847,28.07106781186548,50.09047152390696,3,7,12,0.006575584411621,0.0034854412078857,0.0008487701416015
"(0, 0)","(50, 50)",20,35.74003033977183,37.79898987322333,37.93630138097762,1,23,10,0.0105249881744384,0.0071203708648681,0.0003583431243896
