start,goal,range,[our]_reached_goal_global_pick,[our]_path_cost_global_pick,[our]_reached_goal_neighbor_pick, [our]_path_cost_neighbor_pick,[RRTX]_reached_goal,[RRTX]_path_cost
"(0, 0)","(30, 60)",30,True,101.17801666353822,True,101.17801666353822,True,112.71671471830093
"(0, 0)","(30, 90)",10,True,403.7153965906088,True,365.20824495898523,True,497.9307781554296
"(0, 0)","(30, 90)",15,True,218.5933188397327,True,218.5933188397327,True,262.9639407573586
"(0, 0)","(30, 90)",20,True,221.95684449268072,True,221.95684449268072,True,170.9235387354431
"(0, 0)","(30, 90)",25,True,204.4854492560761,True,204.4854492560761,True,180.8996319918241
"(0, 0)","(30, 90)",30,True,270.29399660969375,True,198.14938011589612,True,135.68698331549666
"(0, 0)","(40, 40)",10,True,457.9776661955915,True,457.9776661955915,True,195.7657320005487
"(0, 0)","(40, 40)",15,True,435.4664643275811,True,482.01528950234075,False,549.8031837977594
"(0, 0)","(40, 40)",20,True,285.4461821661957,True,324.05594326346585,True,484.5999800428631
"(0, 0)","(40, 40)",25,False,5795.179425790807,False,5094.952697681165,True,291.23643362798015
"(0, 0)","(40, 40)",30,True,459.2842795629971,True,621.4683279708016,True,129.54735398645872
"(0, 0)","(40, 50)",10,True,457.43022490868344,True,475.45075306399036,True,226.53291998126122
"(0, 0)","(40, 50)",15,True,478.3641546300198,True,526.6377785026389,False,550.8775775253033
"(0, 0)","(40, 50)",20,True,301.61559007942634,True,301.61559007942634,True,158.32245546170728
"(0, 0)","(40, 50)",25,True,121.26495322745998,True,121.26495322745998,True,146.37303012224316
"(0, 0)","(40, 50)",30,True,197.40993231329986,True,820.1512448570182,True,122.22264356501337
"(0, 0)","(40, 70)",10,True,578.0890006620115,True,464.0141378245083,True,500.6471028363371
"(0, 0)","(40, 70)",15,True,292.63493029495686,True,288.6627482468724,True,295.82261877329046
"(0, 0)","(40, 70)",20,True,380.220688478965,True,380.220688478965,True,254.9857673706795
"(0, 0)","(40, 70)",25,True,348.96722586751645,True,352.1168988307082,True,234.48095205654272
"(0, 0)","(40, 70)",30,True,459.26035344373315,True,574.7564065539117,True,198.3304027242302
"(0, 0)","(40, 80)",10,True,560.4356025948222,True,473.92128802705844,True,304.2710221627639
"(0, 0)","(40, 80)",15,True,441.77540298538844,True,396.44356996029916,False,569.3759353746376
"(0, 0)","(40, 80)",20,True,451.3967111872313,True,460.5339533862704,True,296.93389108538014
"(0, 0)","(40, 80)",25,True,308.1126428155604,True,192.26178092734366,True,232.8067332798423
